codigo_producto;descripcion_producto;unidades_por_caja;precio;iva;precio_con_iva;descuento_por_bultos;descuento_por_volumen;imagen_id;marca_id
0169;Chico champu manzanilla 10x200ml ;10; 2,55 ; 0,41 ; 2,96 ;null;null;null;1
0773;Chicco champu romero 200ml;10; 2,34 ; 0,37 ; 2,71 ;null;null;null;1
0028;Chico champu original 10x200 ml;10; 3,04 ; 0,49 ; 3,53 ;null;null;null;1
0357;Chicco champu original 400ml;10; 5,38 ; 0,86 ; 6,24 ;null;null;null;1
0174;Chicco locion 10x200cc;10; 3,10 ; 0,50 ; 3,60 ;null;null;null;1
0043;Chicco aceite con vitamina E 220 cc;10; 4,44 ; 0,71 ; 5,15 ;null;null;null;1
0917;Chicco aceite con vitamina E 110 cc;24; 2,52 ; 0,40 ; 2,92 ;null;null;null;1
0813;Chicco aceite cremoso 200ml;10; 2,47 ; 0,40 ; 2,87 ;null;null;null;1
0036;Chicco colonia 220cc ;10; 3,47 ; 0,56 ; 4,03 ;null;null;null;1
0581;Chicco colonia 110cc;24; 1,98 ; 0,32 ; 2,30 ;null;null;null;1
0711;Chico cotoncito 3x2 60p;32; NULL ; NULL ; NULL ;null;null;null;1
0038;Chico cotoncito 60p;48; 0,67 ; 0,11 ; 0,78 ;null;null;null;1
0712;Chico cotoncito 3X2 100p;12; NULL ; NULL ; NULL ;null;null;null;1
0616;Chico cotoncito 100p;32; 1,04 ; 0,17 ; 1,21 ;null;null;null;1
0891;Chico cotoncito 300p pagas 200p;12; 2,04 ; 0,33 ; 2,37 ;null;null;null;1
0890;Chico cotoncito 180p pagas 120p;16; 1,81 ; 0,29 ; 2,10 ;null;null;null;1
0048;chicco gel antibacterial 100 cc;24; NULL ; NULL ; NULL ;null;null;null;1
0877;Chicco motas de algod�n 100p paga 80p;12; 2,47 ; 0,40 ; 2,87 ;null;null;null;1
0175;Chicco motas de algod�n 100p;12; 2,47 ; 0,40 ; 2,87 ;null;null;null;1
0037;Chicco talco 200gr ;24; 3,91 ; 0,63 ; 4,54 ;null;null;null;1
0732;Chicco talco 100gr ;24; 2,06 ; 0,33 ; 2,39 ;null;null;null;1
0044;Chicco Toallas Humedas Original X72;24; NULL ; NULL ; NULL ;null;null;null;1
0376;Chicco Toalla Humeda X48;20; NULL ; NULL ; NULL ;null;null;null;1
0385;Chicco th original x24;40; 0,68 ; 0,11 ; 0,79 ;null;null;null;1
0618;Ladyface discos de algod�n 80p;8; 2,05 ; 0,33 ; 2,38 ;null;null;null;1
0828;Chicco crema protectora 80gr;16; 2,98 ; 0,48 ; 3,46 ;null;null;null;1
0358;Chicco vaselina 80gr;16; 2,04 ; 0,33 ; 2,37 ;null;null;null;1
0670;Chicco pa�al M reg. 20und;8; 3,15 ; 0,50 ; 3,65 ;null;null;null;1
